participant,xai,wave,slope_type,outcome,slope
R_5F38AMuOCY994Y9,none,new_26,test_trial,edit_l1,-0.04300731663972023
R_5F38AMuOCY994Y9,none,new_26,test_trial,target_helpful_shap,-0.23129453274483994
R_5F38AMuOCY994Y9,none,new_26,test_trial,cf_demo_cosine,-0.3091303223323255
R_5F38AMuOCY994Y9,none,new_26,test_trial,attribution_feature_overlap,-0.0841819262079667
R_5F38AMuOCY994Y9,none,new_26,test_trial,response_time,-0.24700061036879323
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,boundary_new,0.04687336441943943
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,boundary_improvement,-0.02871224714080576
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,success,-0.2644685407048567
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,confidence_gain,-0.24163351613537112
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,edit_l1,-0.07872673746807593
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,target_helpful_shap,-0.13267496838578205
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,cf_demo_cosine,-0.26549723560619426
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,attribution_feature_overlap,-0.1390988909444943
R_5F38MGbZJklp6TP,attribution,original_36,test_trial,response_time,-1.4915332007778304
R_5FwCR03V97gle4L,attribution,new_26,test_trial,boundary_new,0.0011298617924710968
R_5FwCR03V97gle4L,attribution,new_26,test_trial,boundary_improvement,0.011858699372956149
R_5FwCR03V97gle4L,attribution,new_26,test_trial,success,-0.09971764649527394
R_5FwCR03V97gle4L,attribution,new_26,test_trial,confidence_gain,-0.1172302029893015
R_5FwCR03V97gle4L,attribution,new_26,test_trial,edit_l1,0.04258696189068936
R_5FwCR03V97gle4L,attribution,new_26,test_trial,target_helpful_shap,0.03520504595636138
R_5FwCR03V97gle4L,attribution,new_26,test_trial,cf_demo_cosine,-0.06353970806601052
R_5FwCR03V97gle4L,attribution,new_26,test_trial,attribution_feature_overlap,-0.011561466260321625
R_5FwCR03V97gle4L,attribution,new_26,test_trial,response_time,-1.7851323009088491
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,boundary_new,-0.009813434652181971
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,boundary_improvement,0.023822256674067715
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,success,0.24712634131437428
