outcome,family,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,beneficial_hedges_g,q_global,q_within_family
boundary_improvement,performance,counterfactual - attribution,counterfactual,attribution,27,16,-0.004709043816481482,0.006072726601250002,-0.010781770417731484,-0.034602615133447055,0.010198851589799768,0.4904,0.3641535297659364,-0.2339607154879184,-0.010781770417731484,-0.2339607154879184,0.8968499999999999,0.7121999999999999
target_centroid_efficiency,geometry,counterfactual - attribution,counterfactual,attribution,27,16,0.044533925178811044,0.12503185400592093,-0.08049792882710988,-0.2919502533353239,0.14831720636021947,0.5147,0.48335885475973617,-0.2018893968247359,-0.08049792882710988,-0.2018893968247359,0.8968499999999999,0.8613
attribution_feature_overlap,attribution_alignment,attribution - none,attribution,none,16,19,0.33796875,0.3619736842105264,-0.024004934210526407,-0.09948519736842111,0.04998437499999994,0.5249,0.5487963985389286,-0.20132331152611552,-0.024004934210526407,-0.20132331152611552,0.8968499999999999,0.7030666666666667
cf_demo_feature_jaccard,counterfactual_alignment,attribution - none,attribution,none,16,19,0.33796875,0.3619736842105264,-0.024004934210526407,-0.09919805372807018,0.051659470942982406,0.526,0.5487963985389286,-0.20132331152611552,-0.024004934210526407,-0.20132331152611552,0.8968499999999999,0.9075500000000001
attribution_global_relevance,attribution_alignment,counterfactual - none,counterfactual,none,27,19,0.24134850823045267,0.23608187134502925,0.00526663688542342,-0.010071084104938245,0.02072309806151182,0.5273,0.5182355213253793,0.18829865963116163,0.00526663688542342,0.18829865963116163,0.8968499999999999,0.7030666666666667
distance_to_minimal_cf,cost,counterfactual - attribution,counterfactual,attribution,27,16,0.6057986335677777,0.551228780285625,0.05456985328215269,-0.056201229163758186,0.18831477555764228,0.5359,0.3906591876911045,0.2280547874394594,-0.05456985328215269,-0.2280547874394594,0.8968499999999999,0.6890142857142857
target_centroid_progress,geometry,counterfactual - attribution,counterfactual,attribution,27,16,0.019856216075982085,0.0806747947753278,-0.06081857869934571,-0.2072013178923003,0.061806989192707024,0.543,0.39099205606462706,-0.22183186211305492,-0.06081857869934571,-0.22183186211305492,0.8968499999999999,0.8613
target_centroid_efficiency,geometry,counterfactual - none,counterfactual,none,27,19,0.044533925178811044,0.12051324337181919,-0.07597931819300816,-0.3179067467146665,0.17585505109273947,0.5657,0.5561260220060862,-0.17431539629266415,-0.07597931819300816,-0.17431539629266415,0.8968499999999999,0.8613
relative_boundary_improvement,performance,counterfactual - none,counterfactual,none,27,19,-0.6585372950571214,-0.7868433159088446,0.12830602085172316,-0.31894966904866157,0.587147319855258,0.5691,0.5933770186373997,0.1641594243424432,0.12830602085172316,0.1641594243424432,0.8968499999999999,0.7121999999999999
boundary_new,performance,counterfactual - none,counterfactual,none,27,19,0.1275865894114815,0.1373240277444737,-0.009737438332992204,-0.046437842958883785,0.02526819273970468,0.5786,0.607679674983524,-0.1585400564452057,0.009737438332992204,0.1585400564452057,0.8968499999999999,0.7121999999999999
