context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
new_wave,confidence_gain,counterfactual - none,12,8,0.45120519100729467,0.409917238939043,0.04128795206825164,-0.09632028921280433,0.17252743234211787,0.58675,0.5761123755754496,0.24157314532756452,0.04128795206825164,0.9731896551724138
new_wave,target_centroid_progress,counterfactual - none,12,8,0.0678832963026822,0.021058455929527667,0.04682484037315453,-0.09335210323207041,0.1877385838434804,0.5915,0.5633194754107258,0.24599960799944173,0.04682484037315453,0.9731896551724138
new_wave,success,attribution - none,6,8,0.5,0.4375,0.0625,-0.16666666666666663,0.2708854166666664,0.62275,0.6189359800347383,0.29141705829836567,0.0625,0.9731896551724138
new_wave,confidence_gain,counterfactual - attribution,12,6,0.45120519100729467,0.5012573037370026,-0.05005211272970794,-0.25424972236422055,0.15333127083127845,0.6285,0.6753409304912266,-0.2367070022922589,-0.05005211272970794,0.9731896551724138
new_wave,cf_demo_cosine,attribution - none,6,8,0.34772626584271116,0.3057580908780151,0.04196817496469607,-0.13554983622727593,0.23028370104878693,0.68825,0.6922110219736095,0.21260638003684143,0.04196817496469607,0.9731896551724138
new_wave,cf_demo_cosine,counterfactual - none,12,8,0.3458691811043976,0.3057580908780151,0.04011109022638254,-0.1373611044480819,0.2142420033250881,0.69175,0.6720921874404975,0.17406214036383794,0.04011109022638254,0.9731896551724138
new_wave,target_centroid_progress,attribution - none,6,8,0.04957118431372473,0.021058455929527667,0.028512728384197064,-0.1221082089816208,0.16925584126127718,0.72025,0.730236243521666,0.17606557245218302,0.028512728384197064,0.9731896551724138
new_wave,success,counterfactual - attribution,12,6,0.4583333333333333,0.5,-0.041666666666666685,-0.26666666666666666,0.1791666666666667,0.73775,0.7437399055773766,-0.18588572818067306,-0.041666666666666685,0.9731896551724138
new_wave,attribution_feature_overlap,attribution - none,6,8,0.31375000000000003,0.2967708333333333,0.016979166666666712,-0.10080208333333332,0.1334826388888888,0.77675,0.8061663154217208,0.13793426850190027,0.016979166666666712,0.9731896551724138
new_wave,cf_demo_feature_jaccard,attribution - none,6,8,0.31375000000000003,0.2967708333333333,0.016979166666666712,-0.10162413194444442,0.13872395833333326,0.79425,0.8061663154217208,0.13793426850190027,0.016979166666666712,0.9731896551724138
new_wave,success,counterfactual - none,12,8,0.4583333333333333,0.4375,0.020833333333333315,-0.10624999999999996,0.15625000000000006,0.8355,0.7659765167051713,0.12309864408275362,0.020833333333333315,0.9731896551724138
new_wave,target_centroid_progress,counterfactual - attribution,12,6,0.0678832963026822,0.04957118431372473,0.018312111988957464,-0.13730325103883748,0.15928696567234227,0.86025,0.8254904981046136,0.0960680782481686,0.018312111988957464,0.9731896551724138
new_wave,boundary_new,attribution - none,6,8,0.11925285500833331,0.122449559311875,-0.0031967043035416864,-0.04885953887334379,0.032635350060093736,0.9085,0.8891170446995624,-0.06498797255478751,0.0031967043035416864,0.9731896551724138
new_wave,boundary_improvement,attribution - none,6,8,0.0036246905866666695,0.00042798628312500087,0.0031967043035416687,-0.0339609607691875,0.04602753240416667,0.9095,0.8891170446995631,0.06498797255478715,0.0031967043035416687,0.9731896551724138
new_wave,target_helpful_shap,counterfactual - attribution,12,6,0.2712929406920833,0.27763228037666665,-0.006339339684583334,-0.164006164647302,0.14616506558241663,0.94075,0.9443613431778151,-0.03664216932273877,-0.006339339684583334,0.9731896551724138
new_wave,cf_demo_cosine,counterfactual - attribution,12,6,0.3458691811043976,0.34772626584271116,-0.0018570847383135303,-0.21667184436139178,0.18499970494590007,0.98775,0.9868380302802113,-0.007505750108505424,-0.0018570847383135303,0.98775
original_wave,cf_demo_cosine,counterfactual - none,15,11,0.26207300898726704,0.45903911836080874,-0.1969661093735417,-0.3591932157518555,-0.029539138886995265,0.0395,0.032299279797291774,-0.820961390392055,-0.1969661093735417,0.4592647058823529
original_wave,target_helpful_shap,counterfactual - none,15,11,0.27183773016233326,0.4289024666268182,-0.15706473646448493,-0.32085364333778416,-0.0002311868474031583,0.05275,0.07865057426179335,-0.7771662267499689,-0.15706473646448493,0.4592647058823529
original_wave,target_helpful_shap,attribution - none,10,11,0.26397012272135,0.4289024666268182,-0.16493234390546818,-0.3256037470091253,-0.003615618672345789,0.063,0.06805893955002902,-0.8000111311212843,-0.16493234390546818,0.4592647058823529
