participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_5a6S4hSnNMThfbj,counterfactual,20,0,weighted examples,0.45539229092860645,0.0,0.0,0.15594136513750656,0.15443663950000003,1.0,0.0010460178,0.8604166482,0.0,1.0,0.8397703287041121,0.8692429605247338,0.03347406724998886,0.07652893562043278
R_5b2MBKWDgnmpE3f,none,1,56,feature contribution,0.4890568256905696,0.5,0.5,0.39777336313641104,0.426025508,0.0,0.0637851042,0.8991180603,1.0,0.0,0.8921396272954394,0.9441380573329636,0.26306782120172073,0.1197463886539187
R_5b2MBKWDgnmpE3f,none,2,53,feature contribution,0.45306497868835927,1.0,0.6666666666666666,0.15604186697581032,0.38468006975,1.0,0.0096784771,0.9151837883,0.0,0.0,0.9389880625342834,0.9700462882253672,0.06030055590906175,0.1476157492200191
R_5b2MBKWDgnmpE3f,none,3,33,feature contribution,0.4890568256905696,0.5,0.6666666666666666,0.25543380006552535,0.36815574100000004,1.0,0.4060786398,0.9069937299,1.0,1.0,0.9317876081406766,0.9499103247440124,0.377849966184634,0.06470056586395556
R_5b2MBKWDgnmpE3f,none,4,14,feature contribution,0.45306497868835927,1.0,0.6666666666666666,0.0688605847961025,0.331775441,1.0,0.1528827006,0.8706847768,1.0,0.0,0.8293684258742063,0.9203374297198187,0.1995760463396229,0.14597009217475343
R_5b2MBKWDgnmpE3f,none,5,26,feature contribution,0.45306497868835927,1.0,1.0,0.3260532468730532,0.36819607466666665,1.0,0.1108479338,0.9106312539,0.0,0.0,0.9383359721526081,0.9394314986004275,0.03215733166215576,0.027679400093651163
R_5b2MBKWDgnmpE3f,none,6,32,feature contribution,0.45306497868835927,0.6666666666666666,0.6666666666666666,0.3264450501156309,0.31455677575,1.0,0.1282446285,0.958625069,1.0,1.0,0.9275173807763853,0.9270093975415481,0.005713340548706314,0.14954810975119825
R_5b2MBKWDgnmpE3f,none,7,35,feature contribution,0.45306497868835927,0.6666666666666666,0.6666666666666666,0.21019351181254206,0.3700022212173913,1.0,0.0086603259,0.91976815,0.0,0.0,0.888023777895625,0.8654052806755738,0.3403755670312635,0.5079280187075761
R_5b2MBKWDgnmpE3f,none,8,42,feature contribution,0.4890568256905696,0.5,0.5,0.2839848389587247,0.2935776181743242,1.0,0.1372798401,0.9224390308,0.0,0.0,0.9364775538972817,0.9236974412990825,0.03794778892421341,0.04762081461301759
R_5b2MBKWDgnmpE3f,none,9,7,feature contribution,1.0,1.0,1.0,0.09407221853094186,0.29849679000000007,1.0,0.2606556761,0.9503534187,1.0,1.0,0.9392168716680702,0.9416341036893116,0.2323047971540633,0.002022288144877399
R_5b2MBKWDgnmpE3f,none,10,30,feature contribution,0.45306497868835927,0.8,0.8,0.3594805221950395,0.32409398533333333,1.0,0.1500585148,0.9399538686,0.0,0.0,0.8819417295088174,0.8684953910396058,0.22312444242625815,0.228024645386349
R_5b2MBKWDgnmpE3f,none,11,58,feature contribution,0.45306497868835927,1.0,1.0,0.3306017964204281,0.28815628420000006,1.0,0.1568682704,0.9014319898,1.0,1.0,0.9330359659464053,0.9281632689907193,0.004954594158772363,0.021132361899546148
R_5b2MBKWDgnmpE3f,none,12,31,feature contribution,0.7204850845606131,0.0,1.0,0.5497749653255501,0.591711155,0.0,0.4571827683,0.9652290387,1.0,0.0,0.9072735696049558,0.9621804388002316,0.04683909548105686,0.2267923338408947
R_5b2MBKWDgnmpE3f,none,13,0,feature contribution,0.4890568256905696,1.0,0.5,0.6757489567303098,0.4640982966666667,0.0,0.083728344,0.9483907194,1.0,1.0,0.8664636176387245,0.8583042223308484,0.007515805589418362,0.017641540561811914
R_5b2MBKWDgnmpE3f,none,14,51,feature contribution,0.4890568256905696,0.5,0.0,0.3386106568169666,0.26781582525,0.0,0.2085877326,0.9317375683,0.0,1.0,0.9020757791620566,0.9145594345299469,0.029789276875288206,0.07013995980782317
R_5b2MBKWDgnmpE3f,none,15,11,feature contribution,0.4890568256905696,0.5,0.5,0.4258119861784153,0.38365914533333334,0.0,0.1638610482,0.9698431153,0.0,0.0,0.933175169152661,0.9567205056691914,0.21077665126367728,0.2046047684672921
R_5b2MBKWDgnmpE3f,none,16,12,feature contribution,0.45306497868835927,0.6666666666666666,0.6666666666666666,0.1923604772420972,0.21474021725,0.0,0.2725387693,0.9575516111,0.0,0.0,0.9358973827822351,0.9266892429498259,0.07209633396803294,0.08353289667679747
R_5b2MBKWDgnmpE3f,none,17,20,feature contribution,1.0,1.0,1.0,0.3795795312373751,0.43577421599999994,0.0,0.159685118,0.9433129262,0.0,0.0,0.9527842855092004,0.9399878666002617,0.12858982666858787,0.10036137501452125
R_5b2MBKWDgnmpE3f,none,18,15,feature contribution,0.4890568256905696,0.5,0.0,0.4756254199100871,0.45997027333333335,0.0,0.4200248628,0.8780085818,0.0,0.0,0.891754604711596,0.8652720843098796,0.3094048140206307,0.12609013263983881
R_5b2MBKWDgnmpE3f,none,19,52,feature contribution,0.4890568256905696,0.5,1.0,0.44872742383146297,0.716521738792639,0.0,0.4791056408,0.9212241398,0.0,0.0,0.9049516541281092,0.9243682031172441,0.33687544207958486,0.293219585816887
R_5b2MBKWDgnmpE3f,none,20,59,feature contribution,0.4890568256905696,0.5,0.5,0.3280371432389001,0.297546508,0.0,0.1195156798,0.9355221492,1.0,0.0,0.9439452413727916,0.9423996148171047,0.029246813481510703,0.11582998459809163
R_5c5e5Qjh8Qn7MSE,attribution,1,30,feature contribution,1.0,0.8571428571428571,0.8571428571428571,0.10218139252106523,0.06605640367500001,1.0,0.0297996791,0.9119521968,0.0,0.0,0.894273660548989,0.8884953910396058,0.2274006877740401,0.21444816824536891
R_5c5e5Qjh8Qn7MSE,attribution,2,14,feature contribution,0.7472283135593397,1.0,0.0,0.3711247921120502,0.2285410645,1.0,0.0076633545,0.9142948506,1.0,0.0,0.8955631378762429,0.9227192410473946,0.153024933214297,0.16145278184315134
R_5c5e5Qjh8Qn7MSE,attribution,3,35,feature contribution,0.45539616617112266,0.6666666666666666,1.0,0.15325510322951758,0.3084717760231884,0.0,0.1673446549,0.8908982729,0.0,0.0,0.9147319705463516,0.8534075476459508,0.17262958875597267,0.3806260723146398
R_5c5e5Qjh8Qn7MSE,attribution,4,42,feature contribution,0.5942375547387803,1.0,0.6666666666666666,0.09412528328526983,0.09836570945,1.0,0.0613975757,0.9586693769,0.0,1.0,0.9486892745625813,0.9530771976918082,0.025924712461812605,0.0361394244151938
R_5c5e5Qjh8Qn7MSE,attribution,5,7,feature contribution,0.47037035397621235,0.5,0.0,0.19531660236211854,0.18439681400000002,1.0,0.0145591103,0.9397249268,1.0,1.0,0.8871455072914188,0.9207123019852853,0.18670649227745517,0.014378666706635096
R_5c5e5Qjh8Qn7MSE,attribution,6,56,feature contribution,0.5071307538294113,0.5,0.5,0.17812879364501588,0.239068986,1.0,0.1000793351,0.9439664905,1.0,1.0,0.9478092606945289,0.9383366112358101,0.1613026062389033,0.04812851468456117
R_5c5e5Qjh8Qn7MSE,attribution,7,33,feature contribution,0.5426267813807233,1.0,0.0,0.07749351235629276,0.202173913,1.0,0.1466689781,0.9236878853,1.0,1.0,0.9391865878156681,0.9151277160483601,0.11823827550996611,0.10274748830817315
R_5c5e5Qjh8Qn7MSE,attribution,8,26,feature contribution,0.4672451951684594,1.0,0.5,0.08902505096846458,0.202504257,1.0,0.0798008593,0.9712315645,1.0,1.0,0.959427019438118,0.9434489340863859,0.019220249741353973,0.06206935556336346
