participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,5,577,1,27.6485,42.9923,0.864962,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,1,2447,0,-39.4959,-9.3171,0.960985,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,2,1751,0,-38.4441,6.3062,1.084848,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,3,553,0,-36.5695,4.1287,0.625095,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,4,172,1,18.5895,42.9326,1.012121,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,5,2728,0,-28.6522,11.1850,0.551231,2
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,1,2447,1,25.2349,55.4137,2.906061,5
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,2,1751,1,11.4055,56.1557,2.870833,5
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,3,553,1,4.4179,45.1161,1.969223,4
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,4,172,1,10.8500,35.1931,1.898788,3
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,5,2728,0,-26.1348,13.7025,2.062121,4
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,1,3174,1,49.3272,58.7776,1.257462,3
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,2,2275,1,39.6146,40.9682,0.362784,2
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,3,675,1,36.4222,79.9188,1.716288,4
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,4,102,1,40.2938,62.7105,1.263939,3
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,5,577,1,36.7394,52.0832,0.400000,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,1,98,0,-50.0000,0.0000,0.089650,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.064563,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,3,4,0,-50.0000,0.0000,0.089725,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.079675,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.124938,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,1,87,0,-50.0000,0.0000,0.090025,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,2,203,0,-50.0000,0.0000,0.075187,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,3,106,0,-50.0000,0.0000,0.124938,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,4,143,0,-49.9999,0.0001,0.095112,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,5,300,0,-50.0000,0.0000,0.124938,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,1,2447,0,-36.2192,-6.0404,0.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,2,1751,0,-36.7019,8.0484,0.200000,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,3,553,0,-26.4401,14.2580,0.200000,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,5,2728,0,-4.9365,34.9007,0.666667,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,1,3174,0,-28.4469,-18.9965,1.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,2,2275,1,17.7985,19.1521,0.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,3,675,0,-41.0754,2.4211,0.415341,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,4,102,0,-16.4951,5.9216,0.666667,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,1,3174,0,-14.3383,-4.8879,0.400000,1
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,2,2275,1,49.8888,51.2425,0.940057,3
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,3,675,1,20.4678,63.9644,2.510227,5
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,4,102,1,28.5874,51.0040,1.682917,4
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,5,577,0,-6.2803,9.0635,1.318939,3
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,1,2447,0,-42.8350,-12.6562,1.105758,2
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,2,1751,0,-45.6816,-0.9313,0.558788,2
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,3,553,0,-29.1849,11.5132,1.697841,4
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,4,172,1,22.9300,47.2732,0.666667,1
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,5,2728,0,-4.9365,34.9007,0.666667,1
R_71opu9CilxP5KrN,safelimit,none,Below Limit to Above Limit,1,98,1,50.0000,100.0000,0.629255,2
R_71opu9CilxP5KrN,safelimit,none,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,1.859755,3
R_71opu9CilxP5KrN,safelimit,none,Below Limit to Above Limit,3,4,0,-50.0000,0.0000,0.248236,3
R_71opu9CilxP5KrN,safelimit,none,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,1.762402,3
R_71opu9CilxP5KrN,safelimit,none,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.333309,3
R_71opu9CilxP5KrN,safelimit,none,Above Limit to Below Limit,1,87,0,-47.8199,2.1801,0.672319,2
R_71opu9CilxP5KrN,safelimit,none,Above Limit to Below Limit,2,203,1,50.0000,100.0000,1.336857,2
R_71opu9CilxP5KrN,safelimit,none,Above Limit to Below Limit,3,106,0,-50.0000,0.0000,0.009651,1
R_71opu9CilxP5KrN,safelimit,none,Above Limit to Below Limit,4,143,0,-50.0000,-0.0000,1.235392,3
R_71opu9CilxP5KrN,safelimit,none,Above Limit to Below Limit,5,300,1,50.0000,100.0000,1.353024,2
R_3fTrP1eNSLr6OFA,housing,attribution,Cheap to Expensive,1,3174,1,18.4960,27.9464,0.666667,1
R_3fTrP1eNSLr6OFA,housing,attribution,Cheap to Expensive,2,2275,1,2.2866,3.6403,0.019886,1
R_3fTrP1eNSLr6OFA,housing,attribution,Cheap to Expensive,3,675,0,-40.0117,3.4849,0.735322,3
R_3fTrP1eNSLr6OFA,housing,attribution,Cheap to Expensive,4,102,0,-16.4951,5.9216,0.666667,1
R_3fTrP1eNSLr6OFA,housing,attribution,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_3fTrP1eNSLr6OFA,housing,attribution,Expensive to Cheap,1,2447,0,-42.0683,-11.8894,0.666667,1
