participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_55tIhWzHfQVe7nG,counterfactual,weighted examples,observed per instance,1.0,nan,1.5,2.0,1.0,0,0.2443551656697743,0.6567659153327703,0.14547624667231893,0.8255356683699858,1.1537396482386515,0.2678447534610111,0.6148314485387588,0.15052095546078093,0.894728057366631,1.5856906933107573,0
R_5BSmZ6kOyBcgvGO,counterfactual,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.3661244830524596,0.40738507150426384,0.13963403760918305,0.5263157894736842,1.6276260398979825,0.3900293198201797,0.35490874007529605,0.13496737971565528,0.5333333333333333,1.769745885131893,0
R_5BSmZ6kOyBcgvGO,counterfactual,weighted examples,observed per instance,1.0,nan,0.5,2.0,0.0,0,0.3212967326833817,0.45497270457442707,0.09756616994119044,0.8838825176892211,1.181744183159013,0.33561743226756013,0.42783642149007745,0.09907128602519767,0.8842923573795283,1.2754509072089195,1
R_5JCJbR8oOgkjlA0,attribution,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,1,0.27091380127513703,0.7059435132567777,0.24777111580705174,0.939938955624141,1.6248872259562908,0.2741751713286524,0.7059435132567777,0.2542938559140825,0.9399389556241411,1.6248872259562908,1
R_5JCJbR8oOgkjlA0,attribution,weighted examples,observed per instance,1.0,nan,1.0,6.0,0.0,1,0.2645948443466916,0.6940873881907264,0.22327707688410964,0.8668917482870213,1.9163356982986905,0.271755190991512,0.6815340139094686,0.22504439589249264,0.8788020812030813,2.0731924784388243,0
R_5OT6oo9gKTZyooh,none,feature contribution,observed per instance,0.0,1.0,1.5,nan,nan,0,0.2786409414931146,0.7398637149156042,0.2971455979018335,0.9,0.6571596848476287,0.28444977017343437,0.7398637149156043,0.308763255262473,0.9,0.6571596848476288,1
R_5OT6oo9gKTZyooh,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.38045262552072373,0.5300629928918342,0.29096824393328163,0.8422651302595329,1.9911769818573748,0.38380730074602737,0.530062992891834,0.29767759438388885,0.8422651302595329,1.9911769818573746,0
R_5PStwIHXgmZwa9J,none,feature contribution,observed per instance,0.0,0.5,1.0,nan,nan,0,0.1881085034540247,0.8176445396698669,0.19386154657791638,0.9208333333333332,0.6601687562723071,0.20293098799773085,0.8149194299736541,0.22078140596911572,0.9208333333333332,0.6869428709662491,1
R_5PStwIHXgmZwa9J,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.17725293864255173,0.7917811499637353,0.14628702724883882,0.8816230301659227,1.1137557006950431,0.17725293864255173,0.7917811499637354,0.14628702724883882,0.8816230301659227,1.1137557006950434,0
R_5QGGlhAzSiOVePL,attribution,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.33481632631657765,0.5299391577928237,0.1995718104259791,0.8145047092582564,2.1066918766482465,0.3365997878055729,0.5208241024095186,0.19402367802066448,0.8103733783607874,2.1711038250682675,0
